timestamp,time_s,x_ut,y_ut,z_ut,magnitude
2026-01-30T11:24:02.547647,0.939,-20.50,-144.60,170.00,224.12
2026-01-30T11:24:02.547647,0.939,-93.30,-104.00,206.30,249.16
2026-01-30T11:24:02.667053,1.058,-68.60,-119.00,63.50,151.32
2026-01-30T11:24:02.667053,1.058,-37.00,-176.90,56.30,189.29
2026-01-30T11:24:02.777688,1.169,-68.60,-129.50,185.70,236.56
2026-01-30T11:24:02.777688,1.169,-79.80,-113.00,103.50,172.77
2026-01-30T11:24:02.882863,1.274,-33.30,-116.80,80.50,145.71
2026-01-30T11:24:02.883862,1.275,-84.30,-181.40,197.80,281.31
2026-01-30T11:24:03.000269,1.391,-63.30,-113.00,98.60,162.78
2026-01-30T11:24:03.000269,1.391,-7.00,-168.60,113.10,203.14
2026-01-30T11:24:03.000269,1.391,-30.30,-146.80,173.60,229.36
2026-01-30T11:24:03.115207,1.506,-109.10,-105.50,148.20,212.12
2026-01-30T11:24:03.115207,1.506,-1.00,-128.80,131.30,183.93
2026-01-30T11:24:03.228659,1.620,-36.30,-145.30,200.30,250.10
2026-01-30T11:24:03.228659,1.620,-40.00,-146.80,161.50,221.88
2026-01-30T11:24:03.343211,1.734,-52.00,-142.30,206.30,255.96
2026-01-30T11:24:03.344210,1.735,-17.50,-116.00,130.10,175.18
2026-01-30T11:24:03.344210,1.735,-22.80,-137.80,133.70,193.35
2026-01-30T11:24:03.464580,1.856,-25.00,-149.10,164.00,223.05
2026-01-30T11:24:03.464580,1.856,-75.30,-135.60,132.50,203.99
2026-01-30T11:24:03.575167,1.966,-70.10,-116.80,124.00,184.21
2026-01-30T11:24:03.576168,1.967,-34.80,-94.30,108.30,147.76
2026-01-30T11:24:03.698564,2.090,-19.00,-162.60,149.40,221.63
2026-01-30T11:24:03.698564,2.090,-112.10,-101.00,151.90,214.11
2026-01-30T11:24:03.698564,2.090,-67.10,-112.30,102.20,166.01
2026-01-30T11:24:03.810321,2.201,-51.30,-115.30,141.00,189.23
2026-01-30T11:24:03.810321,2.201,-6.20,-176.10,195.40,263.12
2026-01-30T11:24:03.927058,2.318,-84.30,-104.80,197.80,239.20
2026-01-30T11:24:03.927058,2.318,-43.80,-119.00,68.40,144.08
2026-01-30T11:24:04.041215,2.432,-14.50,-126.50,173.60,215.29
2026-01-30T11:24:04.041215,2.432,-78.30,-155.80,132.50,219.00
2026-01-30T11:24:04.041215,2.432,-67.10,-122.00,134.90,193.87
2026-01-30T11:24:04.161096,2.552,-29.50,-116.00,96.20,153.56
2026-01-30T11:24:04.161096,2.552,-30.30,-152.80,193.00,248.02
2026-01-30T11:24:04.281783,2.673,-54.30,-139.30,193.00,244.14
2026-01-30T11:24:04.281783,2.673,-62.60,-107.00,108.30,164.61
2026-01-30T11:24:04.398605,2.790,-37.80,-108.50,159.10,196.25
2026-01-30T11:24:04.398605,2.790,-66.30,-107.00,161.50,204.76
2026-01-30T11:24:04.398605,2.790,-67.10,-176.10,154.30,243.56
2026-01-30T11:24:04.518696,2.910,-58.80,-90.50,93.80,142.99
2026-01-30T11:24:04.518696,2.910,-8.50,-83.00,78.00,114.22
2026-01-30T11:24:04.640023,3.031,-11.50,-149.10,212.40,259.76
2026-01-30T11:24:04.640530,3.032,-53.50,-161.80,191.80,256.57
2026-01-30T11:24:04.640530,3.032,-64.80,-112.30,102.20,165.09
2026-01-30T11:24:04.748728,3.140,-21.30,-131.80,86.50,159.08
2026-01-30T11:24:04.748728,3.140,-58.10,-147.60,208.70,262.14
2026-01-30T11:24:04.855587,3.247,-76.10,-101.80,85.30,153.07
2026-01-30T11:24:04.855587,3.247,-32.50,-162.60,79.30,183.80
2026-01-30T11:24:04.964016,3.355,-49.80,-176.10,148.20,235.49
2026-01-30T11:24:04.964016,3.355,-85.80,-116.00,115.60,184.88
2026-01-30T11:24:05.072744,3.464,-1.70,-156.60,127.70,202.07
2026-01-30T11:24:05.072744,3.464,-88.10,-141.60,193.00,255.07
2026-01-30T11:24:05.193569,3.585,-72.30,-91.20,144.60,185.62
2026-01-30T11:24:05.193569,3.585,-22.00,-80.00,93.80,125.23
2026-01-30T11:24:05.193569,3.585,-19.00,-157.30,143.40,213.70
2026-01-30T11:24:05.303767,3.695,-60.30,-111.50,223.20,256.68
2026-01-30T11:24:05.303767,3.695,-80.60,-107.00,88.90,160.77
2026-01-30T11:24:05.414093,3.805,-15.20,-110.00,149.40,186.15
2026-01-30T11:24:05.414093,3.805,-13.70,-124.30,159.10,202.36
2026-01-30T11:24:05.525032,3.916,-7.00,-134.80,149.40,201.35
2026-01-30T11:24:05.525032,3.916,-61.80,-134.10,159.10,217.06
2026-01-30T11:24:05.638203,4.029,-44.50,-104.00,86.50,142.40
2026-01-30T11:24:05.638203,4.029,-43.00,-90.50,114.30,152.00
2026-01-30T11:24:05.638203,4.029,-30.30,-143.10,183.30,234.51
2026-01-30T11:24:05.751512,4.143,-74.60,-117.50,180.90,228.25
2026-01-30T11:24:05.751512,4.143,-65.60,-125.00,149.40,205.54
2026-01-30T11:24:05.864306,4.255,-73.10,-95.80,88.90,149.75
2026-01-30T11:24:05.864306,4.255,-34.80,-119.80,81.70,149.12
2026-01-30T11:24:05.977617,4.369,-26.50,-175.40,159.10,238.29
2026-01-30T11:24:05.977617,4.369,-100.90,-158.80,173.60,256.00
2026-01-30T11:24:06.092568,4.484,-79.80,-101.00,132.50,184.73
2026-01-30T11:24:06.092568,4.484,-34.00,-133.30,78.00,158.14
2026-01-30T11:24:06.093571,4.485,-36.30,-143.10,134.90,199.98
2026-01-30T11:24:06.208780,4.600,-31.80,-161.10,182.10,245.20
2026-01-30T11:24:06.208780,4.600,-60.30,-155.80,172.40,240.07
2026-01-30T11:24:06.323162,4.714,-80.60,-105.50,134.90,189.27
2026-01-30T11:24:06.323162,4.714,-54.30,-113.00,65.90,141.63
2026-01-30T11:24:06.437825,4.829,-2.50,-176.10,143.40,227.11
2026-01-30T11:24:06.437825,4.829,-67.80,-81.50,180.90,209.68
2026-01-30T11:24:06.438825,4.830,-96.40,-106.30,130.10,193.70
2026-01-30T11:24:06.556016,4.947,-37.80,-153.60,124.00,200.99
2026-01-30T11:24:06.557015,4.948,-94.90,-149.10,172.40,246.90
2026-01-30T11:24:06.687709,5.079,-77.60,-98.80,113.10,169.04
2026-01-30T11:24:06.687709,5.079,-7.00,-83.70,122.80,148.78
2026-01-30T11:24:06.687709,5.079,-9.20,-188.10,194.20,270.52
2026-01-30T11:24:06.797975,5.189,-71.60,-136.30,124.00,197.69
2026-01-30T11:24:06.797975,5.189,-51.30,-113.00,86.50,151.27
2026-01-30T11:24:06.906977,5.298,-65.60,-95.00,113.10,161.62
2026-01-30T11:24:06.906977,5.298,-34.00,-146.10,65.90,163.84
2026-01-30T11:24:07.017013,5.408,-68.60,-151.30,171.20,238.55
2026-01-30T11:24:07.017013,5.408,-37.00,-147.60,172.40,229.95
2026-01-30T11:24:07.125973,5.517,-92.60,-113.00,76.80,165.05
2026-01-30T11:24:07.125973,5.517,-71.60,-108.50,93.80,160.30
2026-01-30T11:24:07.235976,5.627,-34.00,-152.10,114.30,193.27
2026-01-30T11:24:07.235976,5.627,-58.80,-144.60,180.90,238.94
2026-01-30T11:24:07.344590,5.736,1.30,-155.80,136.10,206.88
2026-01-30T11:24:07.344590,5.736,-79.10,-112.30,164.00,213.93
2026-01-30T11:24:07.344590,5.736,-73.80,-99.50,111.90,166.94
2026-01-30T11:24:07.455967,5.847,-44.50,-107.00,61.10,131.01
2026-01-30T11:24:07.455967,5.847,-27.30,-171.60,164.00,238.93
2026-01-30T11:24:07.561686,5.953,-57.30,-135.60,164.00,220.38
2026-01-30T11:24:07.561686,5.953,-67.80,-89.70,79.30,137.59
2026-01-30T11:24:07.667104,6.058,-15.20,-122.00,90.10,152.42
2026-01-30T11:24:07.667104,6.058,-19.00,-155.80,170.00,231.38
2026-01-30T11:24:07.783962,6.175,-49.80,-170.10,166.40,243.11
2026-01-30T11:24:07.783962,6.175,-64.10,-122.00,155.50,207.78
2026-01-30T11:24:07.889078,6.280,-21.30,-168.60,68.40,183.19
2026-01-30T11:24:07.889078,6.280,-79.10,-163.30,161.50,242.91
2026-01-30T11:24:07.889078,6.280,-68.60,-100.30,125.20,174.47
2026-01-30T11:24:07.992989,6.384,-25.00,-125.80,86.50,154.70
2026-01-30T11:24:07.992989,6.384,-10.70,-150.60,99.80,180.98
2026-01-30T11:24:08.113025,6.504,-20.50,-176.10,155.50,235.82
2026-01-30T11:24:08.113025,6.504,-54.30,-167.80,213.60,277.00
2026-01-30T11:24:08.218221,6.609,-79.10,-92.70,130.10,178.26
2026-01-30T11:24:08.219221,6.610,-26.50,-128.00,103.50,166.73
2026-01-30T11:24:08.323914,6.715,-39.30,-124.30,114.30,173.38
2026-01-30T11:24:08.323914,6.715,-53.50,-147.60,206.30,259.24
2026-01-30T11:24:08.440620,6.832,-73.80,-125.00,96.20,174.14
2026-01-30T11:24:08.440620,6.832,-9.20,-122.00,110.70,164.99
2026-01-30T11:24:08.440620,6.832,-35.50,-157.30,161.50,228.22
2026-01-30T11:24:08.546755,6.938,-71.60,-131.80,174.80,230.33
2026-01-30T11:24:08.546755,6.938,-76.10,-115.30,144.60,199.99
2026-01-30T11:24:08.653116,7.044,-64.80,-90.50,101.00,150.30
2026-01-30T11:24:08.653116,7.044,-7.70,-143.10,82.90,165.56
2026-01-30T11:24:08.761486,7.153,-42.30,-146.80,189.40,243.33
2026-01-30T11:24:08.761486,7.153,-115.90,-101.80,193.00,247.07
2026-01-30T11:24:08.868162,7.259,-82.80,-143.10,73.20,180.81
2026-01-30T11:24:08.868162,7.259,-85.80,-119.80,79.30,167.34
2026-01-30T11:24:08.975362,7.366,-28.80,-113.00,82.90,143.08
2026-01-30T11:24:08.975362,7.366,-30.30,-127.30,130.10,184.52
2026-01-30T11:24:09.083542,7.475,-89.60,-163.30,154.30,241.88
2026-01-30T11:24:09.083542,7.475,-73.80,-87.50,139.80,180.68
2026-01-30T11:24:09.190240,7.581,-83.60,-79.20,109.50,158.91
2026-01-30T11:24:09.190240,7.581,-20.50,-126.50,80.50,151.34
2026-01-30T11:24:09.190240,7.581,-29.50,-158.80,171.20,235.37
2026-01-30T11:24:09.299475,7.691,-96.40,-142.30,126.40,213.35
2026-01-30T11:24:09.299987,7.691,-102.40,-104.80,104.70,180.09
2026-01-30T11:24:09.408756,7.800,-48.30,-116.80,91.40,155.98
2026-01-30T11:24:09.408756,7.800,-30.30,-128.00,162.70,209.22
2026-01-30T11:24:09.518756,7.910,-38.50,-148.30,180.90,237.07
2026-01-30T11:24:09.518756,7.910,-72.30,-79.20,213.60,239.01
2026-01-30T11:24:09.629844,8.021,-3.20,-116.00,125.20,170.71
2026-01-30T11:24:09.629844,8.021,-22.80,-153.60,200.30,253.44
2026-01-30T11:24:09.740563,8.132,-65.60,-128.00,170.00,222.68
2026-01-30T11:24:09.740563,8.132,-51.30,-165.60,97.40,198.85
2026-01-30T11:24:09.740563,8.132,-19.80,-139.30,199.00,243.72
